#iPar	FSIQE	FSIQEH	FSIINEL	FSIABS	FSICX	FSICXH
0	1.0	1.8	1.0	1.1	1.0	1.8
40	0.6	1.1	1.0	1.1	1.0	1.8
41	1.6	2.3	1.0	1.1	1.0	1.8
42	1.0	1.8	1.0	1.1	0.6	1.1
43	1.0	1.8	1.0	1.1	1.6	2.3
44	1.0	1.8	1.0	0.6	1.0	1.8
45	1.0	1.8	1.0	1.6	1.0	1.8
46	1.0	1.8	1.0	0.6	0.6	1.1
47	1.0	1.8	1.0	1.6	1.6	2.3
48	1.0	1.8	0.5	1.1	1.0	1.8
49	1.0	1.8	1.5	1.1	1.0	1.8
50	0.6	1.1	0.5	1.1	1.0	1.8
51	1.6	2.3	0.5	1.1	1.0	1.8
52	1.0	1.8	0.5	1.1	0.6	1.1
53	1.0	1.8	0.5	1.1	1.6	2.3
54	1.0	1.8	0.5	0.6	1.0	1.8
55	1.0	1.8	0.5	1.6	1.0	1.8
56	1.0	1.8	0.5	0.6	0.6	1.1
57	0.6	1.1	1.5	1.1	1.0	1.8
58	1.6	2.3	1.5	1.1	1.0	1.8
59	1.0	1.8	1.5	1.1	0.6	1.1
60	1.0	1.8	1.5	1.1	1.6	2.3
61	1.0	1.8	1.5	0.6	1.0	1.8
62	1.0	1.8	1.5	1.6	1.0	1.8
63	1.0	1.8	1.5	1.6	1.6	2.3
