#iPar	FSIQE	FSIQEH	FSIINEL	FSIABS	FSICX	FSICXH
0	1.0	1.8	1.0	1.1	1.0	1.8
7	0.6	1.8	1.0	0.7	0.5	1.8
8	0.6	1.8	1.0	0.7	1.6	1.8
9	0.7	1.8	1.0	1.6	0.4	1.8
10	0.7	1.8	1.0	1.6	1.6	1.8
11	1.4	1.8	1.0	0.6	0.6	1.8
12	1.3	1.8	1.0	0.7	1.6	1.8
13	1.5	1.8	1.0	1.5	0.4	1.8
14	1.6	1.8	1.0	1.6	1.6	1.8
15	0.6	1.1	1.5	0.7	0.5	2.3
16	0.6	1.1	1.5	0.7	1.6	2.3
17	0.7	1.1	1.5	1.6	0.4	2.3
18	0.7	1.1	1.5	1.6	1.6	2.3
19	1.4	1.1	1.5	0.6	0.6	2.3
20	1.3	1.1	1.5	0.7	1.6	2.3
21	1.5	1.1	1.5	1.5	0.4	2.3
22	1.6	1.1	1.5	1.6	1.6	2.3
23	0.6	2.3	0.5	0.7	0.5	1.3
24	0.6	2.3	0.5	0.7	1.6	1.3
25	0.7	2.3	0.5	1.6	0.4	1.3
26	0.7	2.3	0.5	1.6	1.6	1.3
27	1.4	2.3	0.5	0.6	0.6	1.3
28	1.3	2.3	0.5	0.7	1.6	1.3
29	1.5	2.3	0.5	1.5	0.4	1.3
30	1.6	2.3	0.5	1.6	1.6	1.3
